# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
0	0	19972	0.0168943	0.0168944
1	0	20155	0.0153659	0.0325008
2	0	21536	0.0150245	0.0477309
3	0	23069	0.0154895	0.0634243
4	0	24813	0.0153338	0.0789313
5	0	26578	0.0152114	0.0943151
6	0	28454	0.0149838	0.10947
7	0	30376	0.0152898	0.124933
8	0	32487	0.0155818	0.140688
9	0	34642	0.0154534	0.156332
10	0	36834	0.0150831	0.171594
11	0	39006	0.0152162	0.18698
12	0	41193	0.0153265	0.202476
13	0	43578	0.0155441	0.218203
14	0	45752	0.0180314	0.236411
15	0	47890	0.0153933	0.251982
16	0	49737	0.0155043	0.267653
17	0	51489	0.0153409	0.283168
18	0	52963	0.0154163	0.298755
19	0	54216	0.0155247	0.314453
20	0	55120	0.0155224	0.330143
21	0	55791	0.015689	0.346001
22	0	56123	0.0153869	0.361565
23	0	56334	0.015485	0.377219
24	0	56456	0.0155154	0.392905
25	0	56418	0.0154179	0.408495
26	0	56332	0.0152914	0.423961
27	0	56103	0.0155303	0.439656
28	0	55893	0.0153389	0.455163
29	0	55616	0.0155571	0.470886
30	0	55392	0.0154821	0.486543
31	0	55187	0.015372	0.502087
32	0	55093	0.0154405	0.51769
33	0	55086	0.0154963	0.533366
34	0	54913	0.0153049	0.548844
35	0	54771	0.0184161	0.567437
36	0	54715	0.0156022	0.58321
37	0	54653	0.0154095	0.598798
38	0	54694	0.0154618	0.61443
39	0	54586	0.0154551	0.630057
40	0	54551	0.015327	0.645556
41	0	54507	0.0153556	0.661088
42	0	54483	0.0154676	0.676726
43	0	54367	0.0153794	0.692284
44	0	54379	0.0153934	0.70785
45	0	54319	0.015554	0.723576
46	0	54306	0.0156545	0.739402
47	0	54363	0.0155248	0.755097
48	0	54357	0.0155694	0.770832
49	0	54410	0.0155638	0.786564
50	0	54390	0.0155931	0.802337
51	0	54447	0.0153725	0.817886
52	0	54365	0.0153123	0.833368
53	0	54367	0.0159422	0.849494
54	0	54437	0.0155059	0.865214
55	0	54446	0.0154698	0.880899
56	0	54494	0.0154983	0.896556
57	0	54486	0.0154557	0.912187
58	0	54415	0.0154713	0.927834
59	0	54479	0.0154257	0.943428
60	0	54392	0.0154876	0.959081
61	0	54412	0.0155464	0.974803
62	0	54357	0.0154656	0.990438
63	0	54459	0.0155836	1.00619
64	0	54412	0.0154612	1.02184
65	0	54388	0.0158073	1.03783
66	0	54455	0.0156431	1.05366
67	0	54443	0.0155775	1.06944
68	0	54449	0.0152936	1.08492
69	0	54470	0.0153971	1.10051
70	0	54456	0.0153724	1.11605
71	0	54498	0.0155763	1.13181
72	19	54553	0.0155076	1.14748
73	25	54479	0.015498	1.16315
74	29	54425	0.0153087	1.17864
75	49	54341	0.0154167	1.19422
76	64	54331	0.0153631	1.20975
77	83	54239	0.0154429	1.22538
78	112	54289	0.0154212	1.24097
79	150	54199	0.0153887	1.25653
80	187	54200	0.0154832	1.27218
81	228	54098	0.0155067	1.28787
82	315	54086	0.015505	1.30354
83	424	54038	0.0163798	1.3201
84	526	54149	0.0160048	1.33629
85	685	54191	0.0155975	1.35207
86	872	54267	0.0157027	1.36795
87	1143	54229	0.0156434	1.38376
88	1373	54229	0.0155567	1.39949
89	1696	54257	0.0155918	1.41527
90	1999	54374	0.0155737	1.43101
91	2359	54331	0.0157131	1.44689
92	2720	54351	0.0155314	1.46259
93	3064	54392	0.0158688	1.47862
94	3417	54461	0.0156775	1.49448
95	3844	54461	0.0159165	1.51056
96	4256	54441	0.0159421	1.52668
97	4657	54397	0.0159933	1.54285
98	5040	54410	0.0158876	1.55891
99	5337	54375	0.0190459	1.57812
100	5727	54428	0.0158125	1.59412
101	6001	54447	0.0159691	1.61026
102	6326	54415	0.0161781	1.62661
103	6605	54493	0.0161878	1.64299
104	6810	54556	0.0161152	1.65928
105	7038	54425	0.0168751	1.67638
106	7206	54446	0.0160477	1.69261
107	7476	54468	0.0159286	1.70871
108	7616	54407	0.0161676	1.72505
109	7774	54413	0.0160572	1.74128
110	7885	54478	0.016193	1.75763
111	8079	54472	0.0161041	1.77391
112	8268	54584	0.0161923	1.79027
113	8424	54536	0.0160824	1.80653
114	8555	54572	0.0161018	1.8228
115	8664	54498	0.0162798	1.83924
116	8711	54554	0.017121	1.8567
117	8829	54504	0.0163182	1.8732
118	8728	54524	0.0160288	1.88941
119	8581	54505	0.0163783	1.90596
120	8458	54544	0.0162802	1.92241
121	8109	54505	0.0160895	1.93867
122	7952	54515	0.016288	1.95513
123	7694	54541	0.0163511	1.97165
124	7448	54632	0.0159846	1.98781
125	7212	54670	0.0159518	2.00394
126	6969	54688	0.0160187	2.02013
127	6658	54635	0.0159608	2.03626
128	6317	54567	0.0161971	2.05263
129	6068	54549	0.0159512	2.06876
130	5674	54520	0.0157484	2.0847
131	5309	54581	0.0159105	2.10079
132	5001	54562	0.0163048	2.11728
133	4655	54510	0.0158878	2.13335
134	4273	54398	0.0155073	2.14904
135	3971	54546	0.0159894	2.16519
136	3636	54557	0.0158377	2.18119
137	3258	54578	0.0158957	2.19726
138	2863	54541	0.0158375	2.21327
139	2466	54487	0.0158089	2.22925
140	2082	54477	0.0153343	2.24477
141	1738	54457	0.0164329	2.26138
142	1470	54502	0.015324	2.27693
143	1177	54505	0.0156814	2.29278
144	952	54543	0.015634	2.30858
145	765	54570	0.0157287	2.32459
146	586	54502	0.0154664	2.34023
147	468	54472	0.0153552	2.35586
148	347	54377	0.0155843	2.37161
149	240	54298	0.0152972	2.38707
150	164	54221	0.0154478	2.4027
151	129	54214	0.0153862	2.41827
152	106	54214	0.0155198	2.43396
