# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
0	0	19976	0.0091397	0.0091398
1	0	20901	0.0125181	0.0227922
2	0	22358	0.0200841	0.046925
3	0	24046	0.0116565	0.0599901
4	0	25822	0.0084212	0.0691771
5	0	27683	0.0085911	0.0785955
6	0	29586	0.0106491	0.0898078
7	0	31631	0.0130773	0.104434
8	0	33701	0.0161398	0.121936
9	0	35831	0.0235724	0.146554
10	0	38091	0.0123438	0.159792
11	0	40330	0.0150017	0.175775
12	0	42671	0.0130547	0.189826
13	0	45105	0.0102807	0.201731
14	0	47473	0.0114549	0.215216
15	0	49856	0.0079561	0.224461
16	0	52272	0.0135627	0.239036
17	0	54578	0.0096708	0.250176
18	0	56862	0.0092198	0.260659
19	0	59134	0.008746	0.270458
20	0	61274	0.0078403	0.279487
21	0	63330	0.0068223	0.287337
22	0	65341	0.0069649	0.294815
23	0	67100	0.0056311	0.301071
24	0	68671	0.0068425	0.308363
25	0	70041	0.0092227	0.318705
26	0	71205	0.0090668	0.328663
27	0	72114	0.0096237	0.339099
28	0	72737	0.0127477	0.352811
29	0	72982	0.0107782	0.364287
30	0	73074	0.0082924	0.373521
31	0	72940	0.0082317	0.3829
32	0	72794	0.0096689	0.393143
33	0	72311	0.0100416	0.40461
34	0	71890	0.0091304	0.414223
35	0	71273	0.0085989	0.42373
36	0	70688	0.0085811	0.433587
37	0	70166	0.0121186	0.446389
38	0	69625	0.0083036	0.455774
39	0	68901	0.0099437	0.466309
40	0	68415	0.0081675	0.475156
41	0	67945	0.0084139	0.485112
42	0	67481	0.0105825	0.49709
43	0	66964	0.0083929	0.506548
44	0	66673	0.0115739	0.519005
45	0	66395	0.0082555	0.528001
46	0	66067	0.0091233	0.538226
47	0	65697	0.0102052	0.549433
48	0	65476	0.0090021	0.559548
49	0	65162	0.0088196	0.570869
50	0	64906	0.0081519	0.580118
51	0	64630	0.0081234	0.589125
52	0	64489	0.0104694	0.600382
53	0	64432	0.0092524	0.610546
54	0	64253	0.0080483	0.620077
55	0	64193	0.0095097	0.63043
56	0	64294	0.0083299	0.639841
57	0	64231	0.0107598	0.651511
58	0	64266	0.0095781	0.66189
59	0	64324	0.0073831	0.670855
60	0	64498	0.0099185	0.681652
61	0	64704	0.0083592	0.690731
62	0	64793	0.0088535	0.70062
63	0	64978	0.009333	0.711011
64	0	65158	0.0079523	0.720187
65	0	65409	0.0095665	0.730147
66	0	65611	0.0074404	0.738343
67	0	65728	0.0090457	0.748686
68	0	65911	0.0090736	0.759083
69	0	66045	0.0093136	0.770016
70	0	66237	0.0104684	0.780954
71	0	66407	0.0077447	0.789274
72	13	66553	0.0091324	0.799407
73	25	66627	0.0102253	0.810987
74	30	66628	0.0090581	0.821756
75	45	66714	0.01039	0.833014
76	68	66803	0.0077761	0.841685
77	90	66775	0.0088501	0.851792
78	125	66837	0.0099788	0.862603
79	161	66874	0.0082643	0.872324
80	206	66855	0.0101478	0.88425
81	268	66887	0.0078948	0.893089
82	347	66889	0.0099079	0.904133
83	451	66882	0.0096213	0.914844
84	577	66872	0.0077026	0.92364
85	727	66791	0.0098492	0.93426
86	890	66841	0.0087131	0.944048
87	1095	66714	0.0087396	0.954623
88	1302	66664	0.0101714	0.965925
89	1539	66599	0.0077106	0.974699
90	1821	66459	0.0101544	0.986072
91	2082	66377	0.0090798	0.996236
92	2416	66308	0.0098689	1.00668
93	2787	66289	0.0107941	1.01886
94	3120	66269	0.0097483	1.0292
95	3498	66280	0.0081582	1.03832
96	3939	66349	0.0085503	1.04835
97	4339	66342	0.0102653	1.0599
98	4792	66320	0.0093596	1.07079
99	5205	66327	0.0098382	1.0812
100	5548	66211	0.0079987	1.09045
101	6044	66121	0.0087085	1.10028
102	6406	66096	0.0095197	1.11065
103	6721	66065	0.0096771	1.12216
104	6955	66051	0.0109524	1.13372
105	7247	66095	0.0080232	1.14235
106	7446	66018	0.0086417	1.152
107	7621	65919	0.0112889	1.16418
108	7848	66012	0.008324	1.17369
109	8022	66146	0.0113718	1.18611
110	8169	66132	0.0083733	1.19554
111	8217	66134	0.0091242	1.20595
112	8333	66176	0.0110255	1.21825
113	8467	66212	0.0099506	1.22906
114	8541	66202	0.0083591	1.23863
115	8500	66319	0.0088071	1.24837
116	8393	66301	0.0117375	1.26139
117	8280	66299	0.0087409	1.27155
118	8180	66249	0.0107983	1.28316
119	7978	66353	0.0088764	1.29334
120	7788	66453	0.0107094	1.30507
121	7689	66486	0.0112732	1.31742
122	7485	66453	0.0095546	1.32778
123	7255	66464	0.0080652	1.33691
124	7048	66406	0.0097676	1.34785
125	6820	66323	0.0092054	1.35786
126	6592	66326	0.0110633	1.37137
127	6303	66379	0.0097268	1.38196
128	5920	66434	0.0086333	1.39151
129	5687	66441	0.0086637	1.40138
130	5290	66419	0.0110568	1.41303
131	5078	66439	0.0100983	1.42428
132	4791	66414	0.0087692	1.43498
133	4464	66330	0.0080135	1.44344
134	4226	66447	0.0081068	1.45196
135	3871	66477	0.0087536	1.46157
136	3539	66493	0.0098439	1.47313
137	3185	66470	0.0110203	1.48509
138	2950	66516	0.0104679	1.49636
139	2673	66575	0.008698	1.50595
140	2409	66636	0.0087375	1.5159
141	2142	66541	0.0116536	1.52856
142	1842	66395	0.0084764	1.53818
143	1611	66344	0.0124642	1.55176
144	1374	66337	0.0088129	1.56134
145	1207	66341	0.0091782	1.57157
146	1093	66324	0.0101579	1.58283
147	976	66234	0.0083433	1.59197
148	883	66163	0.0076786	1.60139
149	793	66202	0.0085337	1.61062
150	722	66153	0.0084726	1.62
151	677	66171	0.0097037	1.63093
152	619	66170	0.0076525	1.6393
153	549	66215	0.0088035	1.6499
154	479	66167	0.0080232	1.65893
155	396	66220	0.0080076	1.66835
156	336	66114	0.0094191	1.67873
157	278	66160	0.0074629	1.6872
158	239	66232	0.0087662	1.69701
159	204	66253	0.0080445	1.70573
160	177	66304	0.0088652	1.71555
161	153	66345	0.0093786	1.72608
162	133	66359	0.0081481	1.73549
163	112	66307	0.0097512	1.74623
164	84	66347	0.0081931	1.75519
165	74	66521	0.0103407	1.76631
166	60	66498	0.007761	1.77482
167	43	66448	0.0093897	1.78534
168	29	66608	0.0098922	1.79628
